student_id,charge_id,product_id,order_no,start_date,end_date
1236,7012,1,,2013-9-1,2013-10-1
1236,8176,1,,2013-9-2,2013-10-1
1236,8845,1,,2013-10-1,2013-11-1
1236,10271,1,,2013-10-2,2013-11-1
1236,10899,1,,2013-11-1,2013-12-1
1236,11799,1,,2013-11-2,2013-12-1
1236,12406,1,,2013-12-1,2013-12-31
1236,351598,2,,2017-12-10,2018-1-9
1236,393904,1,,2018-4-2,2018-5-1
1236,432842,2,,2018-6-26,2018-7-25
1236,439251,1,,2018-7-26,2018-8-25
1236,461003,1,,2018-8-26,2018-9-25
1236,476508,1,,2018-9-26,2018-10-25
1236,491923,1,,2018-10-26,2018-11-25
1236,506457,1,,2018-11-26,2018-12-25
1236,538761,1,,2019-1-29,2019-2-4
1236,543021,2,,2019-2-5,2019-3-4
1236,681124,2,,2019-10-17,2019-11-16
1236,2833784,1,,2025-11-2,2025-12-1
1236,2858116,29,,2025-12-2,2026-1-1
1236,2912934,29,,2026-1-2,2026-2-1
1236,2946562,29,,2026-2-2,2026-3-1
1236,2978357,29,,2026-3-2,2026-4-1
1236,3026692,29,,2026-4-2,2026-5-1
1236,3064554,29,,2026-5-2,2026-6-1
1236,3099087,29,,2026-6-2,2026-7-2
62241,904254,1,,2020-9-27,2020-10-26
62241,925278,1,,2020-10-27,2020-11-26
62241,948474,1,,2020-11-27,2020-11-29
62241,950026,2,,2020-11-30,2020-12-29
62241,978398,2,,2020-12-30,2021-1-29
62241,997835,2,,2021-1-30,2021-2-27
62241,1018821,2,,2021-2-28,2021-3-29
62241,1044679,1,,2021-3-30,2021-4-29
62241,1069461,1,,2021-4-30,2021-5-29
62241,1098662,1,,2021-5-30,2021-6-29
62241,1128986,1,,2021-6-30,2021-7-29
62241,1153827,1,,2021-7-30,2021-8-29
62241,1175093,1,,2021-8-30,2021-9-29
62241,1200409,1,,2021-9-30,2021-10-29
62241,1222319,1,,2021-10-30,2021-11-29
62241,1245033,1,,2021-11-30,2021-12-29
62241,1274123,1,,2021-12-30,2022-1-29
62241,1301780,1,,2022-1-30,2022-2-27
62241,1324340,1,,2022-2-28,2022-3-29
62241,1352325,1,,2022-3-30,2022-4-29
62241,1377457,1,,2022-4-30,2022-5-29
62241,1402261,1,,2022-5-30,2022-6-29
62241,1438591,1,,2022-6-30,2022-7-29
62241,1468459,1,,2022-7-30,2022-8-29
62241,1495361,1,,2022-8-30,2022-9-29
62241,1525168,1,,2022-9-30,2022-10-29
62241,1554841,1,,2022-10-30,2022-11-29
62241,2947990,29,,2026-2-3,2026-3-2
62241,2979820,29,,2026-3-3,2026-4-2
62241,3028147,29,,2026-4-3,2026-5-2
62241,3065608,29,,2026-5-3,2026-6-2
62241,3100338,29,,2026-6-3,2026-7-3
67915,439897,1,,2018-7-11,2018-8-10
67915,454133,1,,2018-8-11,2018-9-10
67915,468331,1,,2018-9-11,2018-10-10
67915,482566,1,,2018-10-11,2018-11-10
67915,501292,1,,2018-11-11,2018-12-10
67915,518100,1,,2018-12-11,2019-1-10
67915,531470,1,,2019-1-11,2019-2-10
67915,545224,1,,2019-2-11,2019-3-10
67915,556945,1,,2019-3-11,2019-4-10
67915,571989,1,,2019-4-11,2019-5-10
67915,589055,1,,2019-5-11,2019-6-10
67915,605396,1,,2019-6-11,2019-7-10
67915,626894,1,,2019-7-11,2019-8-10
67915,644097,1,,2019-8-11,2019-9-10
67915,660129,1,,2019-9-11,2019-10-10
67915,2913978,29,,2026-1-3,2026-2-2
67915,2947658,29,,2026-2-3,2026-3-2
67915,2979753,29,,2026-3-3,2026-4-2
67915,3028086,29,,2026-4-3,2026-5-2
67915,3065557,29,,2026-5-3,2026-6-2
67915,3100296,29,,2026-6-3,2026-7-3
121073,875031,1,,2020-8-13,2020-9-12
121073,894752,1,,2020-9-13,2020-10-12
121073,917557,1,,2020-10-13,2020-11-12
121073,938156,1,,2020-11-13,2020-12-12
121073,1750842,1,,2023-5-17,2023-6-16
121073,2947970,2,,2026-2-3,2026-3-2
121073,2979809,2,,2026-3-3,2026-4-2
121073,3001753,29,,2026-4-3,2026-5-2
233228,2027469,1,,2024-2-11,2024-3-10
233228,2051776,1,,2024-3-11,2024-4-10
233228,2094755,1,,2024-4-11,2024-5-10
233228,2127571,1,,2024-5-11,2024-6-10
233228,2159865,1,,2024-6-11,2024-7-10
233228,2207383,1,,2024-7-11,2024-8-10
233228,2245681,1,,2024-8-11,2024-9-10
233228,2978600,29,,2026-3-2,2026-4-1
233228,3026886,29,,2026-4-2,2026-5-1
