id,target_ym,student_id,department_id,order_no,product_id,product_type,contract_type,charge_id,total,number_of_carried_over_lessons,pre_sales,number_of_lessons_taken,number_of_expired_lessons,number_of_remaining_lessons,paid_price,country_id,gross_amount,tax_free,created_at,updated_at
986,202604,121073,0,,29,1,0,3001753,15,0,15,0,15,0,14850,86,14850,false,"2026-6-5, 15:17","2026-6-5, 15:17"
111,202605,121073,0,,29,1,0,3001753,15,15,0,0,15,0,14850,86,14850,false,"2026-6-3, 00:00","2026-6-3, 00:00"
893,202604,1236,0,,29,1,0,3026692,15,0,15,3,12,0,14107,86,14107,false,"2026-6-5, 15:17","2026-6-5, 15:17"
2,202605,1236,0,,29,1,0,3026692,15,12,0,0,12,0,11286,86,14107,false,"2026-6-3, 00:00","2026-6-3, 00:00"
1124,202604,233228,0,,29,1,0,3026886,15,0,15,0,15,0,14850,86,14850,false,"2026-6-5, 15:17","2026-6-5, 15:17"
268,202605,233228,0,,29,1,0,3026886,15,15,0,0,15,0,14850,86,14850,false,"2026-6-3, 00:00","2026-6-3, 00:00"
939,202604,67915,0,,29,1,0,3028086,15,0,15,15,0,0,14107,86,14107,false,"2026-6-5, 15:17","2026-6-5, 15:17"
49,202605,67915,0,,29,1,0,3028086,15,1,0,1,0,0,940,86,14107,false,"2026-6-3, 00:00","2026-6-3, 00:00"
930,202604,62241,0,,29,1,0,3028147,15,0,15,8,7,0,14107,86,14107,false,"2026-6-5, 15:17","2026-6-5, 15:17"
39,202605,62241,0,,29,1,0,3028147,15,9,0,5,4,0,8464,86,14107,false,"2026-6-3, 00:00","2026-6-3, 00:00"
