charge_id,target_ym,total,number_of_carried_over_lessons,number_of_lessons_taken,number_of_expired_lessons,number_of_remaining_lessons,paid_price
2998736,202604,15,0,4,11,0,14107
2998736,202605,15,11,0,11,0,10345
3001753,202604,15,0,0,15,0,14850
3001753,202605,15,15,0,15,0,14850
3026093,202604,15,0,8,0,7,11755
3026093,202605,15,7,6,1,0,10286
3026886,202604,15,0,0,15,0,14850
3026886,202605,15,15,0,15,0,14850
3026990,202604,15,0,0,15,0,14850
3026990,202605,15,15,0,15,0,14850
3028080,202604,15,0,5,10,0,14850
3028080,202605,15,10,0,10,0,9900
3033180,202604,15,0,14,0,1,13167
3033180,202605,15,1,2,0,0,1881
