charge_id,target_ym,number_of_expired_lessons,number_of_remaining_lessons,paid_price,order_no,end_date
12480,202604,10,0,23100,10027005,2026-5-1
12480,202605,10,0,23100,10027005,2026-5-1
12483,202604,0,0,23100,10027005,2026-5-1
12483,202605,0,0,0,10027005,2026-5-1
12486,202604,0,0,23100,10027005,2026-5-1
12486,202605,0,0,0,10027005,2026-5-1
12489,202604,0,0,23100,10027005,2026-5-1
12489,202605,0,0,0,10027005,2026-5-1
12492,202604,0,0,23100,10027005,2026-5-1
12492,202605,0,0,0,10027005,2026-5-1
12495,202604,0,0,23100,10027005,2026-5-1
12495,202605,0,0,0,10027005,2026-5-1
12498,202604,0,0,23100,10027005,2026-5-1
12498,202605,0,0,0,10027005,2026-5-1
12501,202604,10,0,23100,10027005,2026-5-1
12501,202605,10,0,23100,10027005,2026-5-1
12504,202604,0,0,23100,10027005,2026-5-1
12504,202605,0,0,0,10027005,2026-5-1
12507,202604,0,0,23100,10027005,2026-5-1
12507,202605,0,0,0,10027005,2026-5-1
13120,202604,2,0,0,13036,2026-5-1
13120,202605,2,0,0,13036,2026-5-1
13121,202604,2,0,0,13036,2026-5-1
13121,202605,2,0,0,13036,2026-5-1
13122,202604,2,0,0,13036,2026-5-1
13122,202605,2,0,0,13036,2026-5-1
