charge_id,student_id,product_id,order_no,start_date,end_date,paid_price,status
875031,121073,1,,2020-8-13,2020-9-12,6600,1
894752,121073,1,,2020-9-13,2020-10-12,13200,1
917557,121073,1,,2020-10-13,2020-11-12,13200,1
938156,121073,1,,2020-11-13,2020-12-12,13200,1
1750842,121073,1,,2023-5-17,2023-6-16,13200,1
2947969,121073,10011,,2026-2-3,2026-3-2,0,1
2947970,121073,2,,2026-2-3,2026-3-2,21450,1
2979809,121073,2,,2026-3-3,2026-4-2,21450,1
2979810,121073,10011,,2026-3-3,2026-4-2,0,1
3001753,121073,29,,2026-4-3,2026-5-2,14850,1
3028140,121073,10011,,2026-4-3,2026-5-2,0,1
