生徒ID,請求情報ID,支払日時,支払金額,合計,差引,08月売上,09月売上,10月売上,11月売上,12月売上,01月売上
S00000000567,2780311,"2025-09-25 03:20:59",17820,0,17820,0,0,0,0,0,0
S00000000602,2783270,"2025-09-26 03:16:06",11880,0,11880,0,0,0,0,0,0
S00000000933,2749255,"2025-09-01 04:28:04",13365,0,13365,0,0,0,0,0,0
S00000000933,2749256,"2025-09-01 04:28:05",0,0,0,0,0,0,0,0,0
S00000000960,2790452,"2025-09-30 03:30:47",21450,0,21450,0,0,0,0,0,0
S00000000960,2790453,"2025-09-30 03:30:47",0,0,0,0,0,0,0,0,0
S00000001014,2790685,"2025-09-30 03:40:02",11880,0,11880,0,0,0,0,0,0
S00000001018,2749335,"2025-09-01 04:30:56",14107,0,14107,0,0,0,0,0,0
S00000001018,2749336,"2025-09-01 04:30:56",0,0,0,0,0,0,0,0,0
S00000001022,2750107,"2025-09-02 03:21:05",11880,0,11880,0,0,0,0,0,0
S00000001051,2780504,"2025-09-25 03:28:59",14107,0,14107,0,0,0,0,0,0
S00000001051,2780505,"2025-09-25 03:29:00",0,0,0,0,0,0,0,0,0
S00000001057,2780386,"2025-09-25 03:24:53",13365,0,13365,0,0,0,0,0,0
S00000001057,2780387,"2025-09-25 03:24:54",0,0,0,0,0,0,0,0,0
S00000001141,2788614,"2025-09-29 03:17:11",11880,0,11880,0,0,0,0,0,0
S00000001192,2761626,"2025-09-13 03:38:34",14850,0,14850,0,0,0,0,0,0
S00000001192,2761627,"2025-09-13 03:38:35",0,0,0,0,0,0,0,0,0
S00000001300,2766051,"2025-09-17 03:27:54",13365,0,13365,0,0,0,0,0,0
S00000001300,2766052,"2025-09-17 03:27:55",0,0,0,0,0,0,0,0,0
S00000001419,2776184,"2025-09-22 20:52:00",7425,0,7425,0,0,0,0,0,0
S00000001419,2776185,"2025-09-22 20:52:01",19800,0,19800,0,0,0,0,0,0
S00000001419,2776186,"2025-09-22 20:52:03",0,0,0,0,0,0,0,0,0
S00000001470,2759370,"2025-09-11 03:17:08",11880,0,11880,0,0,0,0,0,0
S00000001548,2756247,"2025-09-08 03:17:06",11880,0,11880,0,0,0,0,0,0
S00000001740,2780327,"2025-09-25 03:21:56",11880,0,11880,0,0,0,0,0,0
S00000001740,2780328,"2025-09-25 03:21:59",990,0,990,0,0,0,0,0,0
S00000001792,2780263,"2025-09-25 03:18:04",11880,0,11880,0,0,0,0,0,0
S00000002019,2755393,"2025-09-07 03:16:32",11880,0,11880,0,0,0,0,0,0
S00000002025,2790371,"2025-09-30 03:28:06",13365,0,13365,0,0,0,0,0,0
S00000002025,2790372,"2025-09-30 03:28:06",0,0,0,0,0,0,0,0,0
S00000002025,2790373,"2025-09-30 03:28:09",19800,0,19800,0,0,0,0,0,0
S00000002234,2747948,"2025-09-01 03:40:15",11880,0,11880,0,0,0,0,0,0
S00000002234,2750260,"2025-09-02 03:30:21",990,0,990,0,0,0,0,0,0
S00000002238,2761247,"2025-09-13 03:26:16",990,0,990,0,0,0,0,0,0
S00000002238,2761248,"2025-09-13 03:26:19",11880,0,11880,0,0,0,0,0,0
S00000002284,2760412,"2025-09-12 03:22:36",13365,0,13365,0,0,0,0,0,0
S00000002284,2760413,"2025-09-12 03:22:36",0,0,0,0,0,0,0,0,0
S00000002337,2776874,"2025-09-24 03:18:27",17820,0,17820,0,0,0,0,0,0
S00000002582,2762665,"2025-09-15 03:23:15",13365,0,13365,0,0,0,0,0,0
S00000002582,2762666,"2025-09-15 03:23:15",0,0,0,0,0,0,0,0,0
S00000002659,2758750,"2025-09-10 03:32:21",12622,0,12622,0,0,0,0,0,0
S00000002659,2758751,"2025-09-10 03:32:21",0,0,0,0,0,0,0,0,0
S00000002716,2763307,"2025-09-16 03:19:00",11880,0,11880,0,0,0,0,0,0
S00000002716,2763308,"2025-09-16 03:19:02",990,0,990,0,0,0,0,0,0
S00000002906,2761856,"2025-09-14 03:17:51",11880,0,11880,0,0,0,0,0,0
S00000003115,2790627,"2025-09-30 03:36:47",11880,0,11880,0,0,0,0,0,0
S00000003210,2761655,"2025-09-13 03:39:30",14107,0,14107,0,0,0,0,0,0
S00000003210,2761656,"2025-09-13 03:39:31",0,0,0,0,0,0,0,0,0
S00000003210,2761657,"2025-09-13 03:39:34",19800,0,19800,0,0,0,0,0,0
S00000003281,2762532,"2025-09-15 03:16:45",17820,0,17820,0,0,0,0,0,0
S00000003293,2756249,"2025-09-08 03:17:13",11880,0,11880,0,0,0,0,0,0
S00000003297,2788353,"2025-09-28 03:31:31",14107,0,14107,0,0,0,0,0,0
S00000003297,2788354,"2025-09-28 03:31:31",0,0,0,0,0,0,0,0,0
S00000003429,2763856,"2025-09-16 05:44:14",0,0,0,0,0,0,0,0,0
S00000003429,2763857,"2025-09-16 05:44:14",14107,0,14107,0,0,0,0,0,0
S00000003496,2771560,"2025-09-20 03:17:21",11880,0,11880,0,0,0,0,0,0
S00000003561,2766459,"2025-09-17 11:01:38",20013,0,20013,0,0,0,0,0,0
S00000003561,2766460,"2025-09-17 11:01:38",0,0,0,0,0,0,0,0,0
S00000003580,2758643,"2025-09-10 03:28:40",13365,0,13365,0,0,0,0,0,0
S00000003580,2758644,"2025-09-10 03:28:41",0,0,0,0,0,0,0,0,0
S00000003595,2747848,"2025-09-01 03:34:28",11880,0,11880,0,0,0,0,0,0
S00000003617,2754639,"2025-09-06 03:24:33",11880,0,11880,0,0,0,0,0,0
S00000003644,2776257,"2025-09-23 03:16:41",11880,0,11880,0,0,0,0,0,0
S00000003802,2772199,"2025-09-21 03:17:31",11880,0,11880,0,0,0,0,0,0
S00000003833,2767513,"2025-09-18 03:35:05",14107,0,14107,0,0,0,0,0,0
S00000003833,2767514,"2025-09-18 03:35:05",0,0,0,0,0,0,0,0,0
S00000003970,2757377,"2025-09-09 03:18:54",11880,0,11880,0,0,0,0,0,0
S00000004195,2765824,"2025-09-17 03:16:49",11880,0,11880,0,0,0,0,0,0
S00000004208,2763636,"2025-09-16 03:32:42",14107,0,14107,0,0,0,0,0,0
S00000004208,2763637,"2025-09-16 03:32:42",0,0,0,0,0,0,0,0,0
S00000004324,2776541,"2025-09-23 03:29:17",20377,0,20377,0,0,0,0,0,0
S00000004324,2776542,"2025-09-23 03:29:18",0,0,0,0,0,0,0,0,0
S00000004330,2767145,"2025-09-18 03:21:03",11880,0,11880,0,0,0,0,0,0
S00000004338,2750234,"2025-09-02 03:28:48",11880,0,11880,0,0,0,0,0,0
S00000004338,2750235,"2025-09-02 03:28:51",990,0,990,0,0,0,0,0,0
S00000004536,2783279,"2025-09-26 03:16:28",11880,0,11880,0,0,0,0,0,0
S00000004733,2788249,"2025-09-28 03:28:03",11880,0,11880,0,0,0,0,0,0
S00000004744,2772944,"2025-09-22 03:20:53",11880,0,11880,0,0,0,0,0,0
S00000004899,2790642,"2025-09-30 03:37:30",11880,0,11880,0,0,0,0,0,0
S00000004967,2759446,"2025-09-11 03:21:23",11880,0,11880,0,0,0,0,0,0
S00000005072,2776959,"2025-09-24 03:22:42",11880,0,11880,0,0,0,0,0,0
S00000005152,2757347,"2025-09-09 03:17:27",11880,0,11880,0,0,0,0,0,0
S00000005156,2757333,"2025-09-09 03:16:44",11880,0,11880,0,0,0,0,0,0
S00000005184,2755832,"2025-09-07 03:35:04",14107,0,14107,0,0,0,0,0,0
S00000005184,2755833,"2025-09-07 03:35:04",0,0,0,0,0,0,0,0,0
S00000005392,2751566,"2025-09-03 03:29:16",13365,0,13365,0,0,0,0,0,0
S00000005392,2751567,"2025-09-03 03:29:17",0,0,0,0,0,0,0,0,0
S00000005451,2754474,"2025-09-06 03:15:46",19305,0,19305,0,0,0,0,0,0
S00000005451,2754475,"2025-09-06 03:15:46",0,0,0,0,0,0,0,0,0
