入金月,入金額,売上合計,差引,202508売上高,202509売上高,202510売上高,202511売上高,202512売上高,202601売上高
Bizmates
202508,181965047,0,181965047,0,0,0,0,0,0
202509,180130746,0,180130746,0,0,0,0,0,0
202510,178554239,0,178554239,0,0,0,0,0,0
202511,180209644,179980955,228689,0,0,0,102473889,77507066,0
202512,174286945,1030487380,-856200435,0,0,0,0,608079066,422408314
202601,51166630,47666813,3499817,0,0,0,0,0,47666813

Ticket月末残高,,,0
前受金残高,,,-311821897

Zipan
202508,158125,158125,0,116659,41466,0,0,0,0
202509,185625,185625,0,0,109546,76079,0,0,0
202510,165000,165000,0,0,0,105128,59872,0,0
202511,192500,192500,0,0,0,0,120087,72413,0
202512,165000,92125,72875,0,0,0,0,0,92125
202601,101564,2750,98814,0,0,0,0,0,2750

Ticket月末残高,,,0
前受金残高,,,171689
