charge_id,student_id,product_id,contract_type,paid_at,charge_paid_price,order_no
3060894,213228,29,0,"2026-5-1, 00:42",7425,
3060885,287566,29,2,"2026-5-1, 03:15",7425,
3060935,266701,29,2,"2026-5-1, 03:16",14107,
3060943,278174,29,2,"2026-5-1, 03:17",14850,
3061086,273499,29,2,"2026-5-1, 03:22",14850,
3061282,243310,29,2,"2026-5-1, 03:28",12622,
3061324,140441,29,0,"2026-5-1, 03:30",13365,
3061867,247908,29,0,"2026-5-1, 03:59",13365,
3061985,95099,29,0,"2026-5-1, 04:03",13365,
3062093,255441,29,0,"2026-5-1, 04:07",13365,
3062323,276787,29,0,"2026-5-1, 04:16",14107,
3062715,254177,29,0,"2026-5-1, 04:30",14107,
3062722,281657,29,0,"2026-5-1, 04:30",14850,
3062728,287045,29,0,"2026-5-1, 04:30",14850,
3062732,277625,29,0,"2026-5-1, 04:30",14850,
3062784,152154,29,2,"2026-5-1, 04:32",14107,
3062798,232066,29,0,"2026-5-1, 04:32",14850,
3062866,283939,29,0,"2026-5-1, 04:35",14850,
3062887,241511,29,0,"2026-5-1, 04:36",14107,
3062891,266767,29,0,"2026-5-1, 04:36",14850,
