charge_id,target_ym,number_of_lessons_taken,number_of_expired_lessons,number_of_remaining_lessons,paid_price
3060885,202605,4,11,0,7425
3060894,202605,11,4,0,7425
3060935,202605,12,3,0,14107
3060943,202605,11,4,0,14850
3061086,202605,15,0,0,14850
3061282,202605,12,3,0,12622
3061324,202605,0,15,0,13365
3061867,202605,11,4,0,13365
3061985,202605,10,5,0,13365
3062093,202605,10,5,0,13365
3062323,202605,8,7,0,14107
3062715,202605,0,15,0,14107
3062722,202605,12,3,0,14850
3062728,202605,5,10,0,14850
3062732,202605,0,15,0,14850
3062784,202605,0,15,0,14107
3062798,202605,11,4,0,14850
3062866,202605,14,1,0,14850
3062887,202605,0,15,0,14107
3062891,202605,0,15,0,14850
